id,gid,x,y,dir_x,dir_y,radius,time(s)
0,0,444,480,0,0,0,0
0,0,446,480,0,0,0,0.04
0,0,446,480,0,0,0,0.08
0,0,448,480,0,0,0,0.12
0,0,450,480,0,0,0,0.16
0,0,454,480,0,0,0,0.2
0,0,454,480,0,0,0,0.24
0,0,457,480,0,0,0,0.28
0,0,457,480,0,0,0,0.32
0,0,461,482,0,0,0,0.36
0,0,460,481,0,0,0,0.4
0,0,464,481,0,0,0,0.44
0,0,464,482,0,0,0,0.48
0,0,468,481,0,0,0,0.52
0,0,467,481,0,0,0,0.56
0,0,470,481,0,0,0,0.6
0,0,471,481,0,0,0,0.64
0,0,474,482,0,0,0,0.68
0,0,474,480,0,0,0,0.72
0,0,478,480,0,0,0,0.76
0,0,478,480,0,0,0,0.8
0,0,481,480,0,0,0,0.84
0,0,480,480,0,0,0,0.88
0,0,484,480,0,0,0,0.92
0,0,484,480,0,0,0,0.96
0,0,487,479,0,0,0,1
0,0,487,479,0,0,0,1.04
0,0,490,479,0,0,0,1.08
0,0,490,478,0,0,0,1.12
0,0,493,479,0,0,0,1.16
0,0,493,479,0,0,0,1.2
0,0,496,478,0,0,0,1.24
0,0,496,478,0,0,0,1.28
0,0,500,478,0,0,0,1.32
0,0,500,478,0,0,0,1.36
0,0,503,478,0,0,0,1.4
0,0,503,478,0,0,0,1.44
0,0,508,477,0,0,0,1.48
0,0,508,477,0,0,0,1.52
0,0,513,476,0,0,0,1.56
0,0,513,476,0,0,0,1.6
0,0,516,475,0,0,0,1.64
0,0,516,475,0,0,0,1.68
0,0,519,475,0,0,0,1.72
0,0,518,475,0,0,0,1.76
0,0,521,475,0,0,0,1.8
0,0,521,475,0,0,0,1.84
0,0,525,475,0,0,0,1.88
0,0,525,475,0,0,0,1.92
0,0,528,476,0,0,0,1.96
0,0,528,476,0,0,0,2
0,0,531,476,0,0,0,2.04
0,0,530,475,0,0,0,2.08
0,0,533,475,0,0,0,2.12
0,0,533,476,0,0,0,2.16
0,0,537,475,0,0,0,2.2
0,0,537,475,0,0,0,2.24
0,0,540,476,0,0,0,2.28
0,0,540,476,0,0,0,2.32
0,0,543,476,0,0,0,2.36
0,0,544,476,0,0,0,2.4
0,0,546,476,0,0,0,2.44
0,0,546,476,0,0,0,2.48
0,0,549,475,0,0,0,2.52
0,0,550,475,0,0,0,2.56
0,0,553,476,0,0,0,2.6
0,0,553,476,0,0,0,2.64
0,0,556,476,0,0,0,2.68
0,0,556,477,0,0,0,2.72
0,0,560,477,0,0,0,2.76
0,0,561,477,0,0,0,2.8
0,0,564,477,0,0,0,2.84
0,0,564,477,0,0,0,2.88
0,0,568,478,0,0,0,2.92
0,0,569,478,0,0,0,2.96
0,0,571,478,0,0,0,3
0,0,571,478,0,0,0,3.04
0,0,575,478,0,0,0,3.08
0,0,575,478,0,0,0,3.12
0,0,578,478,0,0,0,3.16
0,0,578,478,0,0,0,3.2
0,0,581,478,0,0,0,3.24
0,0,581,478,0,0,0,3.28
0,0,585,479,0,0,0,3.32
0,0,584,479,0,0,0,3.36
0,0,588,479,0,0,0,3.4
0,0,588,479,0,0,0,3.44
0,0,591,479,0,0,0,3.48
0,0,591,480,0,0,0,3.52
0,0,594,479,0,0,0,3.56
0,0,594,479,0,0,0,3.6
0,0,597,478,0,0,0,3.64
0,0,597,478,0,0,0,3.68
0,0,600,478,0,0,0,3.72
0,0,600,477,0,0,0,3.76
0,0,603,477,0,0,0,3.8
0,0,604,477,0,0,0,3.84
0,0,606,477,0,0,0,3.88
0,0,606,476,0,0,0,3.92
0,0,610,475,0,0,0,3.96
0,0,610,475,0,0,0,4
0,0,612,474,0,0,0,4.04
0,0,612,474,0,0,0,4.08
0,0,615,474,0,0,0,4.12
0,0,614,473,0,0,0,4.16
0,0,617,471,0,0,0,4.2
0,0,617,471,0,0,0,4.24
0,0,620,471,0,0,0,4.28
0,0,619,471,0,0,0,4.32
0,0,623,470,0,0,0,4.36
0,0,623,469,0,0,0,4.4
0,0,626,468,0,0,0,4.44
0,0,627,468,0,0,0,4.48
0,0,629,468,0,0,0,4.52
0,0,629,468,0,0,0,4.56
0,0,631,467,0,0,0,4.6
0,0,632,467,0,0,0,4.64
0,0,633,466,0,0,0,4.68
0,0,633,466,0,0,0,4.72
0,0,636,465,0,0,0,4.76
0,0,636,465,0,0,0,4.8
0,0,639,464,0,0,0,4.84
0,0,639,464,0,0,0,4.88
0,0,642,464,0,0,0,4.92
0,0,641,464,0,0,0,4.96
0,0,644,463,0,0,0,5
0,0,644,463,0,0,0,5.04
0,0,647,462,0,0,0,5.08
0,0,647,463,0,0,0,5.12
0,0,650,463,0,0,0,5.16
0,0,650,462,0,0,0,5.2
0,0,653,461,0,0,0,5.24
0,0,653,461,0,0,0,5.28
0,0,657,460,0,0,0,5.32
0,0,656,461,0,0,0,5.36
0,0,660,459,0,0,0,5.4
0,0,659,460,0,0,0,5.44
