id,gid,x,y,dir_x,dir_y,radius,time
1,1,444.000493,195.9998742,0,0,0,0
1,1,444.0321697,195.998123,0,0,0,0.0139
1,1,444.09063,195.9947867,0,0,0,0.0278
1,1,444.1756073,195.9899341,0,0,0,0.0417
1,1,444.286835,195.9836339,0,0,0,0.0556
1,1,444.4240464,195.9759545,0,0,0,0.0695
1,1,444.5870132,195.9669628,0,0,0,0.0834
1,1,444.7816533,195.9564486,0,0,0,0.0973
1,1,445.0013014,195.9448058,0,0,0,0.1112
1,1,445.2456921,195.932102,0,0,0,0.1251
1,1,445.5145609,195.9184047,0,0,0,0.139
1,1,445.8076432,195.903781,0,0,0,0.1529
1,1,446.1247459,195.8882964,0,0,0,0.1668
1,1,446.471284,195.8718495,0,0,0,0.1807
1,1,446.8410711,195.8547177,0,0,0,0.1946
1,1,447.2338459,195.8369652,0,0,0,0.2085
1,1,447.6493477,195.818655,0,0,0,0.2224
1,1,448.0873166,195.7998494,0,0,0,0.2363
1,1,448.5475919,195.7806085,0,0,0,0.2502
1,1,449.0351046,195.7609288,0,0,0,0.2641
1,1,449.5441382,195.7409762,0,0,0,0.278
1,1,450.0744368,195.7208098,0,0,0,0.2919
1,1,450.6257455,195.7004871,0,0,0,0.3058
1,1,451.1978104,195.6800646,0,0,0,0.3197
1,1,451.7904992,195.6595991,0,0,0,0.3336
1,1,452.4082811,195.6391727,0,0,0,0.3475
1,1,453.045896,195.6188503,0,0,0,0.3614
1,1,453.7030953,195.5986857,0,0,0,0.3753
1,1,454.379631,195.5787321,0,0,0,0.3892
1,1,455.0752561,195.5590423,0,0,0,0.4031
1,1,455.7898635,195.539671,0,0,0,0.417
1,1,456.5274829,195.5207769,0,0,0,0.4309
1,1,457.2832962,195.5023332,0,0,0,0.4448
1,1,458.0570621,195.4843898,0,0,0,0.4587
1,1,458.8485404,195.4669956,0,0,0,0.4726
1,1,459.6574923,195.4501993,0,0,0,0.4865
1,1,460.4838319,195.4340564,0,0,0,0.5004
1,1,461.3311728,195.4187964,0,0,0,0.5143
1,1,462.1951212,195.4043097,0,0,0,0.5282
1,1,463.0754445,195.3906428,0,0,0,0.5421
1,1,463.9719108,195.3778422,0,0,0,0.556
1,1,464.8842897,195.3659541,0,0,0,0.5699
1,1,465.8125132,195.3550348,0,0,0,0.5838
1,1,466.7598019,195.3453791,0,0,0,0.5977
1,1,467.7221693,195.3368017,0,0,0,0.6116
1,1,468.6993917,195.3293464,0,0,0,0.6255
1,1,469.6912464,195.3230571,0,0,0,0.6394
1,1,470.6975124,195.3179777,0,0,0,0.6533
1,1,471.7181362,195.3141671,0,0,0,0.6672
1,1,472.7559702,195.3119812,0,0,0,0.6811
1,1,473.8074169,195.311164,0,0,0,0.695
1,1,474.8722629,195.3117592,0,0,0,0.7089
1,1,475.9502956,195.3138106,0,0,0,0.7228
1,1,477.0413041,195.3173621,0,0,0,0.7367
1,1,478.1452474,195.3224792,0,0,0,0.7506
1,1,479.2646338,195.3295805,0,0,0,0.7645
1,1,480.3962355,195.3383443,0,0,0,0.7784
1,1,481.5398486,195.3488155,0,0,0,0.7923
1,1,482.6952711,195.3610389,0,0,0,0.8062
1,1,483.8623022,195.3750597,0,0,0,0.8201
1,1,485.0409096,195.3909517,0,0,0,0.834
1,1,486.2332821,195.4091953,0,0,0,0.8479
1,1,487.4365406,195.4294012,0,0,0,0.8618
1,1,488.6504924,195.4516136,0,0,0,0.8757
1,1,489.8749462,195.4758771,0,0,0,0.8896
1,1,491.1097116,195.5022365,0,0,0,0.9035
1,1,492.3547628,195.5307733,0,0,0,0.9174
1,1,493.6119923,195.5620264,0,0,0,0.9313
1,1,494.8788499,195.5955396,0,0,0,0.9452
1,1,496.1551531,195.6313581,0,0,0,0.9591
1,1,497.4407209,195.6695267,0,0,0,0.973
1,1,498.7353739,195.71009,0,0,0,0.9869
1,1,500.0390901,195.7531374,0,0,0,1.0008
1,1,501.3534891,195.7992645,0,0,0,1.0147
1,1,502.6763292,195.847948,0,0,0,1.0286
1,1,504.0074389,195.8992312,0,0,0,1.0425
1,1,505.3466483,195.9531574,0,0,0,1.0564
1,1,506.6937887,196.0097695,0,0,0,1.0703
1,1,508.04884,196.0691649,0,0,0,1.0842
1,1,509.4131714,196.1319922,0,0,0,1.0981
1,1,510.7848294,196.1976634,0,0,0,1.112
1,1,512.1636533,196.2662209,0,0,0,1.1259
1,1,513.5494841,196.3377068,0,0,0,1.1398
1,1,514.942164,196.412163,0,0,0,1.1537
1,1,516.3416727,196.489695,0,0,0,1.1676
1,1,517.749152,196.5709967,0,0,0,1.1815
1,1,519.1629165,196.655416,0,0,0,1.1954
1,1,520.5828171,196.7429916,0,0,0,1.2093
1,1,522.008706,196.8337613,0,0,0,1.2232
1,1,523.4404369,196.9277628,0,0,0,1.2371
1,1,524.877989,197.0251066,0,0,0,1.251
1,1,526.3222988,197.1265215,0,0,0,1.2649
1,1,527.7719302,197.2312953,0,0,0,1.2788
1,1,529.2267456,197.3394603,0,0,0,1.2927
1,1,530.6866092,197.4510477,0,0,0,1.3066
1,1,532.1513869,197.5660875,0,0,0,1.3205
1,1,533.6210562,197.6846934,0,0,0,1.3344
1,1,535.0963716,197.8076154,0,0,0,1.3483
1,1,536.5761243,197.9340907,0,0,0,1.3622
1,1,538.0601889,198.0641437,0,0,0,1.3761
1,1,539.5484415,198.1977981,0,0,0,1.39
1,1,541.0407597,198.3350763,0,0,0,1.4039
1,1,542.5371196,198.4760926,0,0,0,1.4178
1,1,544.0381137,198.6216047,0,0,0,1.4317
1,1,545.5427409,198.7708087,0,0,0,1.4456
1,1,547.0508877,198.9237193,0,0,0,1.4595
1,1,548.5624422,199.0803497,0,0,0,1.4734
1,1,550.0772944,199.2407116,0,0,0,1.4873
1,1,551.5954178,199.4049158,0,0,0,1.5012
1,1,553.1172651,199.5737092,0,0,0,1.5151
1,1,554.6420216,199.7462601,0,0,0,1.529
1,1,556.1695861,199.9225716,0,0,0,1.5429
1,1,557.6998585,200.1026454,0,0,0,1.5568
1,1,559.2327406,200.2864816,0,0,0,1.5707
1,1,560.7682035,200.4741858,0,0,0,1.5846
1,1,562.3065786,200.6664802,0,0,0,1.5985
1,1,563.8472176,200.8625244,0,0,0,1.6124
1,1,565.3900304,201.0623114,0,0,0,1.6263
1,1,566.9349288,201.2658323,0,0,0,1.6402
1,1,568.4818256,201.4730768,0,0,0,1.6541
